"","CTYNAME","age_grp","N0","V0_1","V0_2","V0_3","V0_4","V0_5","V0_6","V0_7","S0_1","S0_2","S0_3","S0_4","S0_5","S0_6","S0_7","R0","theta_1","theta_2","theta_3","theta_4","theta_5","theta_6","theta_7"
"41","Bell","20",274490,268437,227264,267450,274490,254713,240988,274490,6053,47226,7040,0,19777,33502,0,0,0,0,0,0,0,0,0
"42","Bell","5_19",88325,70410,59609,70151,72003,66810,63209,72003,17915,28716,18174,16322,21515,25116,16322,0,0,0,0,0,0,0,0
"43","Bexar","0_4",132764,130246,110331,129359,132764,123608,116970,132764,2518,22433,3405,0,9156,15794,0,0,69,58,68,72,65,61,72
"44","Bexar","20",1516551,1487787,1260304,1477653,1516551,1411960,1336132,1516551,28764,256247,38898,0,104591,180419,0,0,0,0,0,0,0,0,0
"45","Bexar","5_19",438364,341881,289621,339578,348236,324461,307041,348236,96483,148743,98786,90128,113903,131323,90128,0,0,0,0,0,0,0,0
"46","Blanco","0_4",495,457,383,482,483,433,408,482,38,112,13,12,62,87,13,0,0,0,0,0,0,0,0
"47","Blanco","20",10666,9854,8254,10392,10394,9320,8787,10387,812,2412,274,272,1346,1879,279,0,0,0,0,0,0,0,0
"48","Blanco","5_19",1887,1389,1164,1464,1472,1314,1239,1457,498,723,423,415,573,648,430,0,0,0,0,0,0,0,0
"49","Borden","0_4",24,23,20,23,24,22,21,24,1,4,1,0,2,3,0,0,0,0,0,0,0,0,0
"50","Borden","20",440,424,358,429,440,402,380,440,16,82,11,0,38,60,0,0,0,0,0,0,0,0,0
"51","Borden","5_19",108,81,68,82,83,77,72,83,27,40,26,25,31,36,25,0,0,0,0,0,0,0,0
"52","Bosque","0_4",924,895,756,900,924,849,803,924,29,168,24,0,75,121,0,0,1,0,1,1,1,0,1
"53","Bosque","20",14703,14240,12035,14326,14703,13505,12770,14703,463,2668,377,0,1198,1933,0,0,0,0,0,0,0,0,0
"54","Bosque","5_19",3369,2686,2271,2700,2742,2548,2409,2754,683,1098,669,627,821,960,615,0,0,0,0,0,0,0,0
"55","Bowie","0_4",5420,5267,4454,5281,5420,4996,4725,5420,153,966,139,0,424,695,0,0,3,2,3,3,3,3,3
"56","Bowie","20",67813,65893,55721,66074,67813,62502,59111,67813,1920,12092,1739,0,5311,8702,0,0,0,0,0,0,0,0,0
"57","Bowie","5_19",18454,14599,12346,14641,15020,13848,13097,15020,3855,6108,3813,3434,4606,5357,3434,0,0,0,0,0,0,0,0
"58","Brazoria","0_4",24868,24361,20631,24230,24868,23118,21874,24868,507,4237,638,0,1750,2994,0,0,13,11,13,14,12,12,14
"59","Brazoria","20",287751,281883,238721,280370,287751,267496,253108,287751,5868,49030,7381,0,20255,34643,0,0,0,0,0,0,0,0,0
"60","Brazoria","5_19",86319,69274,58671,68929,70687,65740,62206,70687,17045,27648,17390,15632,20579,24113,15632,0,0,0,0,0,0,0,0
"61","Brazos","0_4",13372,13149,11143,13029,13372,12480,11811,13372,223,2229,343,0,892,1561,0,0,7,6,7,8,7,7,8
"62","Brazos","20",176429,173483,147018,171904,176429,164661,155840,176429,2946,29411,4525,0,11768,20589,0,0,0,0,0,0,0,0,0
"63","Brazos","5_19",54902,32742,27748,32447,33298,31078,29413,33298,22160,27154,22455,21604,23824,25489,21604,0,0,0,0,0,0,0,0
"64","Brewster","0_4",431,410,345,420,431,388,367,431,21,86,11,0,43,64,0,0,0,0,0,0,0,0,0
"65","Brewster","20",7462,7092,5973,7271,7462,6719,6346,7462,370,1489,191,0,743,1116,0,0,0,0,0,0,0,0,0
"66","Brewster","5_19",1620,1017,857,1041,1062,963,910,1053,603,763,579,558,657,710,567,0,0,0,0,0,0,0,0
"67","Briscoe","0_4",78,74,62,76,76,70,66,78,4,16,2,2,8,12,0,0,0,0,0,0,0,0,0
"68","Briscoe","20",1101,1045,880,1073,1073,990,935,1100,56,221,28,28,111,166,1,0,0,0,0,0,0,0,0
"69","Briscoe","5_19",266,212,178,217,220,201,189,215,54,88,49,46,65,77,51,0,0,0,0,0,0,0,0
"70","Brooks","0_4",453,450,382,441,453,428,405,453,3,71,12,0,25,48,0,0,0,0,0,0,0,0,0
"71","Brooks","20",4930,4899,4160,4804,4930,4653,4406,4930,31,770,126,0,277,524,0,0,0,0,0,0,0,0,0
"72","Brooks","5_19",1465,1175,998,1153,1183,1116,1057,1183,290,467,312,282,349,408,282,0,0,0,0,0,0,0,0
"73","Brown","0_4",2126,2068,1749,2071,2126,1962,1856,2126,58,377,55,0,164,270,0,0,1,1,1,1,1,1,1
"74","Brown","20",29749,28942,24479,28986,29749,27454,25967,29749,807,5270,763,0,2295,3782,0,0,0,0,0,0,0,0,0
"75","Brown","5_19",6834,5167,4371,5172,5265,4902,4637,5291,1667,2463,1662,1569,1932,2197,1543,0,0,0,0,0,0,0,0
"76","Burleson","0_4",1116,1107,939,1087,1116,1051,995,1116,9,177,29,0,65,121,0,0,1,0,1,1,1,1,1
"77","Burleson","20",14748,14625,12413,14370,14748,13888,13150,14748,123,2335,378,0,860,1598,0,0,0,0,0,0,0,0,0
"78","Burleson","5_19",3611,2974,2524,2922,2998,2824,2674,2998,637,1087,689,613,787,937,613,0,0,0,0,0,0,0,0
"79","Burnet","0_4",2722,2589,2181,2652,2722,2453,2317,2722,133,541,70,0,269,405,0,0,1,1,1,1,1,1,1
"80","Burnet","20",42017,39969,33666,40939,42017,37868,35767,42017,2048,8351,1078,0,4149,6250,0,0,0,0,0,0,0,0,0
"81","Burnet","5_19",9252,7140,6015,7312,7395,6765,6390,7430,2112,3237,1940,1857,2487,2862,1822,0,0,0,0,0,0,0,0
