"","CTYNAME","age_grp","N0","V0_1","V0_2","V0_3","V0_4","V0_5","V0_6","V0_7","S0_1","S0_2","S0_3","S0_4","S0_5","S0_6","S0_7","R0","theta_1","theta_2","theta_3","theta_4","theta_5","theta_6","theta_7"
"206","El Paso","20",620788,611626,518508,604865,620788,580587,549547,620788,9162,102280,15923,0,40201,71241,0,0,0,0,0,0,0,0,0
"207","El Paso","5_19",193438,152316,129129,150674,154580,144587,136858,154580,41122,64309,42764,38858,48851,56580,38858,0,0,0,0,0,0,0,0
"208","Ellis","0_4",14372,13894,11738,14003,14372,13175,12456,14372,478,2634,369,0,1197,1916,0,0,8,6,8,8,7,7,8
"209","Ellis","20",158310,153041,129294,154249,158310,145125,137210,158310,5269,29016,4061,0,13185,21100,0,0,0,0,0,0,0,0,0
"210","Ellis","5_19",50147,39323,33227,39632,40249,37291,35259,40568,10824,16920,10515,9898,12856,14888,9579,0,0,0,0,0,0,0,0
"211","Erath","0_4",2365,2302,1947,2304,2365,2184,2066,2365,63,418,61,0,181,299,0,0,1,1,1,1,1,1,1
"212","Erath","20",31864,31017,26238,31047,31864,29424,27831,31864,847,5626,817,0,2440,4033,0,0,0,0,0,0,0,0,0
"213","Erath","5_19",9966,6066,5132,6071,6181,5754,5443,6219,3900,4834,3895,3785,4212,4523,3747,0,0,0,0,0,0,0,0
"214","Falls","0_4",974,957,810,949,974,908,859,974,17,164,25,0,66,115,0,0,1,0,1,1,0,0,1
"215","Falls","20",13246,13008,11022,12906,13246,12346,11684,13246,238,2224,340,0,900,1562,0,0,0,0,0,0,0,0,0
"216","Falls","5_19",3066,2481,2102,2462,2515,2355,2229,2520,585,964,604,551,711,837,546,0,0,0,0,0,0,0,0
"217","Fannin","0_4",1911,1843,1557,1862,1911,1748,1652,1911,68,354,49,0,163,259,0,0,1,1,1,1,1,1,1
"218","Fannin","20",28770,27751,23435,28032,28770,26312,24874,28770,1019,5335,738,0,2458,3896,0,0,0,0,0,0,0,0,0
"219","Fannin","5_19",6890,5326,4499,5379,5463,5050,4775,5501,1564,2391,1511,1427,1840,2115,1389,0,0,0,0,0,0,0,0
"220","Fayette","0_4",1295,1278,1084,1262,1295,1213,1149,1295,17,211,33,0,82,146,0,0,1,1,1,1,1,1,1
"221","Fayette","20",19782,19523,16555,19275,19782,18534,17544,19782,259,3227,507,0,1248,2238,0,0,0,0,0,0,0,0,0
"222","Fayette","5_19",4397,3520,2986,3477,3566,3342,3164,3566,877,1411,920,831,1055,1233,831,0,0,0,0,0,0,0,0
"223","Fisher","0_4",157,155,131,153,157,147,139,157,2,26,4,0,10,18,0,0,0,0,0,0,0,0,0
"224","Fisher","20",2753,2716,2303,2682,2753,2579,2441,2753,37,450,71,0,174,312,0,0,0,0,0,0,0,0,0
"225","Fisher","5_19",702,505,429,499,512,480,454,512,197,273,203,190,222,248,190,0,0,0,0,0,0,0,0
"226","Floyd","0_4",297,292,248,289,297,278,263,297,5,49,8,0,19,34,0,0,0,0,0,0,0,0,0
"227","Floyd","20",3645,3589,3043,3552,3645,3407,3225,3645,56,602,93,0,238,420,0,0,0,0,0,0,0,0,0
"228","Floyd","5_19",1148,911,772,901,924,865,818,924,237,376,247,224,283,330,224,0,0,0,0,0,0,0,0
"229","Foard","0_4",49,47,40,48,49,45,42,49,2,9,1,0,4,7,0,0,0,0,0,0,0,0,0
"230","Foard","20",829,801,677,808,829,760,718,829,28,152,21,0,69,111,0,0,0,0,0,0,0,0,0
"231","Foard","5_19",201,156,132,158,161,148,140,158,45,69,43,40,53,61,43,0,0,0,0,0,0,0,0
"232","Fort Bend","0_4",53674,52933,44882,52297,53674,50250,47566,53674,741,8792,1377,0,3424,6108,0,0,27,23,26,28,25,24,28
"233","Fort Bend","20",651667,642674,544924,634952,651667,610091,577507,651667,8993,106743,16715,0,41576,74160,0,0,0,0,0,0,0,0,0
"234","Fort Bend","5_19",211437,171212,145183,169228,173532,162536,153859,173532,40225,66254,42209,37905,48901,57578,37905,0,0,0,0,0,0,0,0
"235","Franklin","0_4",592,581,492,577,592,551,522,592,11,100,15,0,41,70,0,0,0,0,0,0,0,0,0
"236","Franklin","20",8159,8005,6781,7950,8159,7597,7189,8159,154,1378,209,0,562,970,0,0,0,0,0,0,0,0,0
"237","Franklin","5_19",1984,1558,1320,1548,1586,1479,1399,1586,426,664,436,398,505,585,398,0,0,0,0,0,0,0,0
"238","Freestone","0_4",1136,1096,925,1107,1136,1039,982,1136,40,211,29,0,97,154,0,0,1,1,1,1,1,1,1
"239","Freestone","20",15402,14857,12546,15007,15402,14087,13317,15402,545,2856,395,0,1315,2085,0,0,0,0,0,0,0,0,0
"240","Freestone","5_19",3903,3100,2618,3130,3179,2939,2779,3196,803,1285,773,724,964,1124,707,0,0,0,0,0,0,0,0
"241","Frio","0_4",1150,1144,971,1121,1150,1086,1029,1150,6,179,29,0,64,121,0,0,1,1,1,1,1,1,1
"242","Frio","20",12832,12762,10837,12503,12832,12120,11478,12832,70,1995,329,0,712,1354,0,0,0,0,0,0,0,0,0
"243","Frio","5_19",4005,3125,2654,3066,3141,2968,2811,3141,880,1351,939,864,1037,1194,864,0,0,0,0,0,0,0,0
"244","Gaines","0_4",2341,1988,1636,2281,2283,1871,1753,2105,353,705,60,58,470,588,236,0,1,1,1,1,1,1,1
"245","Gaines","20",13682,11616,9564,13331,13334,10932,10248,12301,2066,4118,351,348,2750,3434,1381,0,0,0,0,0,0,0,0
"246","Gaines","5_19",6500,4536,3735,5201,5206,4269,4002,4803,1964,2765,1299,1294,2231,2498,1697,0,0,0,0,0,0,0,0
"247","Galveston","0_4",20512,19958,16881,19986,20512,18932,17907,20512,554,3631,526,0,1580,2605,0,0,11,9,11,11,10,10,11
"248","Galveston","20",268226,260979,220746,261346,268226,247568,234157,268226,7247,47480,6880,0,20658,34069,0,0,0,0,0,0,0,0,0
"249","Galveston","5_19",73006,57432,48583,57530,58993,54483,51533,58993,15574,24423,15476,14013,18523,21473,14013,0,0,0,0,0,0,0,0
"250","Garza","0_4",219,214,181,213,219,203,192,219,5,38,6,0,16,27,0,0,0,0,0,0,0,0,0
"251","Garza","20",3487,3410,2887,3398,3487,3236,3062,3487,77,600,89,0,251,425,0,0,0,0,0,0,0,0,0
"252","Garza","5_19",811,634,537,632,646,602,570,648,177,274,179,165,209,241,163,0,0,0,0,0,0,0,0
"253","Gillespie","0_4",1303,1239,1044,1270,1303,1174,1109,1303,64,259,33,0,129,194,0,0,1,1,1,1,1,1,1
"254","Gillespie","20",21865,20795,17515,21304,21865,19701,18608,21865,1070,4350,561,0,2164,3257,0,0,0,0,0,0,0,0,0
"255","Gillespie","5_19",4565,3519,2965,3607,3646,3334,3150,3661,1046,1600,958,919,1231,1415,904,0,0,0,0,0,0,0,0
"256","Glasscock","0_4",82,79,66,80,82,75,71,82,3,16,2,0,7,11,0,0,0,0,0,0,0,0,0
"257","Glasscock","20",827,794,670,806,827,752,711,827,33,157,21,0,75,116,0,0,0,0,0,0,0,0,0
"258","Glasscock","5_19",232,181,153,183,186,171,162,187,51,79,49,46,61,70,45,0,0,0,0,0,0,0,0
"259","Goliad","0_4",327,319,270,319,327,303,286,327,8,57,8,0,24,41,0,0,0,0,0,0,0,0,0
"260","Goliad","20",5607,5467,4626,5463,5607,5187,4907,5607,140,981,144,0,420,700,0,0,0,0,0,0,0,0,0
"261","Goliad","5_19",1210,964,816,963,981,915,865,985,246,394,247,229,295,345,225,0,0,0,0,0,0,0,0
"262","Gonzales","0_4",1434,1415,1200,1397,1434,1343,1271,1434,19,234,37,0,91,163,0,0,1,1,1,1,1,1,1
"263","Gonzales","20",14128,13939,11820,13766,14128,13233,12526,14128,189,2308,362,0,895,1602,0,0,0,0,0,0,0,0,0
"264","Gonzales","5_19",4368,3461,2935,3419,3506,3286,3110,3506,907,1433,949,862,1082,1258,862,0,0,0,0,0,0,0,0
"265","Gray","0_4",1247,1218,1031,1215,1247,1155,1093,1247,29,216,32,0,92,154,0,0,1,1,1,1,1,1,1
"266","Gray","20",15135,14778,12508,14747,15135,14022,13265,15135,357,2627,388,0,1113,1870,0,0,0,0,0,0,0,0,0
"267","Gray","5_19",4534,3611,3057,3601,3668,3427,3242,3678,923,1477,933,866,1107,1292,856,0,0,0,0,0,0,0,0
"268","Grayson","0_4",9186,8886,7508,8950,9186,8427,7967,9186,300,1678,236,0,759,1219,0,0,5,4,5,5,5,4,5
"269","Grayson","20",107923,104398,88209,105155,107923,99001,93605,107923,3525,19714,2768,0,8922,14318,0,0,0,0,0,0,0,0,0
"270","Grayson","5_19",29798,23328,19712,23497,23863,22123,20917,24061,6470,10086,6301,5935,7675,8881,5737,0,0,0,0,0,0,0,0
"271","Gregg","0_4",8459,8257,6988,8242,8459,7834,7411,8459,202,1471,217,0,625,1048,0,0,5,4,5,5,4,4,5
"272","Gregg","20",90168,88012,74487,87855,90168,83504,78995,90168,2156,15681,2313,0,6664,11173,0,0,0,0,0,0,0,0,0
"273","Gregg","5_19",27616,21582,18267,21545,22088,20477,19372,22088,6034,9349,6071,5528,7139,8244,5528,0,0,0,0,0,0,0,0
"274","Grimes","0_4",2000,1948,1648,1949,2000,1848,1748,2000,52,352,51,0,152,252,0,0,1,1,1,1,1,1,1
"275","Grimes","20",24295,23663,20019,23672,24295,22448,21234,24295,632,4276,623,0,1847,3061,0,0,0,0,0,0,0,0,0
"276","Grimes","5_19",6089,4833,4089,4835,4957,4585,4337,4957,1256,2000,1254,1132,1504,1752,1132,0,0,0,0,0,0,0,0
"277","Guadalupe","0_4",10511,10301,8724,10241,10511,9775,9250,10511,210,1787,270,0,736,1261,0,0,5,5,5,6,5,5,6
"278","Guadalupe","20",138950,136171,115329,135386,138950,129223,122276,138950,2779,23621,3564,0,9727,16674,0,0,0,0,0,0,0,0,0
"279","Guadalupe","5_19",38993,30798,26086,30637,31417,29227,27657,31417,8195,12907,8356,7576,9766,11336,7576,0,0,0,0,0,0,0,0
"280","Hale","0_4",2029,2009,1705,1977,2029,1908,1806,2029,20,324,52,0,121,223,0,0,1,1,1,1,1,1,1
"281","Hale","20",22478,22260,18888,21901,22478,21136,20012,22478,218,3590,577,0,1342,2466,0,0,0,0,0,0,0,0,0
"282","Hale","5_19",7254,5652,4796,5567,5705,5366,5081,5705,1602,2458,1687,1549,1888,2173,1549,0,0,0,0,0,0,0,0
"283","Hall","0_4",141,134,112,137,138,126,119,141,7,29,4,3,15,22,0,0,0,0,0,0,0,0,0
"284","Hall","20",2141,2028,1707,2086,2087,1921,1814,2135,113,434,55,54,220,327,6,0,0,0,0,0,0,0,0
"285","Hall","5_19",536,398,335,407,412,377,356,406,138,201,129,124,159,180,130,0,0,0,0,0,0,0,0
"286","Hamilton","0_4",431,422,357,420,431,400,379,431,9,74,11,0,31,52,0,0,0,0,0,0,0,0,0
"287","Hamilton","20",6592,6455,5466,6423,6592,6125,5796,6592,137,1126,169,0,467,796,0,0,0,0,0,0,0,0,0
"288","Hamilton","5_19",1596,1302,1103,1296,1329,1235,1169,1329,294,493,300,267,361,427,267,0,0,0,0,0,0,0,0
"289","Hansford","0_4",357,350,296,348,357,332,314,357,7,61,9,0,25,43,0,0,0,0,0,0,0,0,0
"290","Hansford","20",3440,3373,2857,3352,3440,3201,3029,3440,67,583,88,0,239,411,0,0,0,0,0,0,0,0,0
"291","Hansford","5_19",1274,988,837,983,1008,938,887,1008,286,437,291,266,336,387,266,0,0,0,0,0,0,0,0
"292","Hardeman","0_4",213,210,178,208,213,199,188,213,3,35,5,0,14,25,0,0,0,0,0,0,0,0,0
"293","Hardeman","20",2614,2571,2179,2547,2614,2441,2310,2614,43,435,67,0,173,304,0,0,0,0,0,0,0,0,0
"294","Hardeman","5_19",663,510,432,507,518,484,458,519,153,231,156,145,179,205,144,0,0,0,0,0,0,0,0
"295","Hardin","0_4",3600,3475,2935,3508,3600,3295,3115,3600,125,665,92,0,305,485,0,0,2,1,2,2,2,2,2
"296","Hardin","20",42463,40988,34619,41374,42463,38865,36742,42463,1475,7844,1089,0,3598,5721,0,0,0,0,0,0,0,0,0
"297","Hardin","5_19",12198,9777,8259,9867,10022,9271,8765,10085,2421,3939,2331,2176,2927,3433,2113,0,0,0,0,0,0,0,0
"298","Harris","0_4",323835,317779,269204,315529,323835,301588,285396,323835,6056,54631,8306,0,22247,38439,0,0,168,141,167,168,159,150,177
"299","Harris","20",3468544,3403682,2883401,3379578,3468544,3230255,3056828,3468544,64862,585143,88966,0,238289,411716,0,0,0,0,0,0,0,0,0
"300","Harris","5_19",1042746,828031,701498,822245,839735,785853,743675,842985,214715,341248,220501,203011,256893,299071,199761,0,0,0,0,0,0,0,0
"301","Harrison","0_4",4110,4021,3404,4005,4110,3815,3610,4110,89,706,105,0,295,500,0,0,2,2,2,2,2,2,2
"302","Harrison","20",51666,50546,42796,50341,51666,47962,45379,51666,1120,8870,1325,0,3704,6287,0,0,0,0,0,0,0,0,0
"303","Harrison","5_19",15119,11606,9828,11558,11769,11013,10421,11836,3513,5291,3561,3350,4106,4698,3283,0,0,0,0,0,0,0,0
"304","Hartley","0_4",330,316,267,322,330,300,283,330,14,63,8,0,30,47,0,0,0,0,0,0,0,0,0
"305","Hartley","20",3904,3742,3156,3804,3904,3546,3351,3904,162,748,100,0,358,553,0,0,0,0,0,0,0,0,0
"306","Hartley","5_19",911,714,603,725,738,677,640,733,197,308,186,173,234,271,178,0,0,0,0,0,0,0,0
"307","Haskell","0_4",249,242,205,243,249,230,217,249,7,44,6,0,19,32,0,0,0,0,0,0,0,0,0
"308","Haskell","20",4300,4181,3536,4190,4300,3966,3751,4300,119,764,110,0,334,549,0,0,0,0,0,0,0,0,0
"309","Haskell","5_19",836,651,551,652,662,618,584,666,185,285,184,174,218,252,170,0,0,0,0,0,0,0,0
"310","Hays","0_4",16031,15488,13084,15620,16031,14687,13885,16031,543,2947,411,0,1344,2146,0,0,8,7,8,9,8,8,9
"311","Hays","20",208132,201088,169869,202794,208132,190682,180275,208132,7044,38263,5338,0,17450,27857,0,0,0,0,0,0,0,0,0
"312","Hays","5_19",56323,40937,34582,41292,42367,38819,36701,42367,15386,21741,15031,13956,17504,19622,13956,0,0,0,0,0,0,0,0
"313","Hemphill","0_4",182,177,150,177,182,168,159,182,5,32,5,0,14,23,0,0,0,0,0,0,0,0,0
"314","Hemphill","20",2234,2171,1836,2177,2234,2060,1948,2234,63,398,57,0,174,286,0,0,0,0,0,0,0,0,0
"315","Hemphill","5_19",773,589,498,592,603,559,529,605,184,275,181,170,214,244,168,0,0,0,0,0,0,0,0
"316","Henderson","0_4",4825,4673,3949,4701,4825,4432,4191,4825,152,876,124,0,393,634,0,0,3,2,3,3,2,2,3
"317","Henderson","20",65765,63694,53830,64078,65765,60406,57118,65765,2071,11935,1687,0,5359,8647,0,0,0,0,0,0,0,0,0
"318","Henderson","5_19",15568,12192,10306,12265,12488,11563,10935,12566,3376,5262,3303,3080,4005,4633,3002,0,0,0,0,0,0,0,0
"319","Hidalgo","0_4",68354,67780,57527,66601,68354,64362,60944,68354,574,10827,1753,0,3992,7410,0,0,36,30,35,37,34,32,37
"320","Hidalgo","20",594630,589635,500441,579378,594630,559904,530172,594630,4995,94189,15252,0,34726,64458,0,0,0,0,0,0,0,0,0
"321","Hidalgo","5_19",235487,188084,159640,184859,189631,178603,169121,189631,47403,75847,50628,45856,56884,66366,45856,0,0,0,0,0,0,0,0
"322","Hill","0_4",2199,2132,1803,2143,2199,2022,1913,2199,67,396,56,0,177,286,0,0,1,1,1,1,1,1,1
"323","Hill","20",28411,27551,23289,27682,28411,26130,24710,28411,860,5122,729,0,2281,3701,0,0,0,0,0,0,0,0,0
"324","Hill","5_19",7491,5902,4991,5927,6036,5598,5294,6051,1589,2500,1564,1455,1893,2197,1440,0,0,0,0,0,0,0,0
"325","Hockley","0_4",1458,1428,1209,1421,1458,1355,1282,1458,30,249,37,0,103,176,0,0,1,1,1,1,1,1,1
"326","Hockley","20",15120,14805,12537,14732,15120,14049,13293,15120,315,2583,388,0,1071,1827,0,0,0,0,0,0,0,0,0
"327","Hockley","5_19",4882,3790,3210,3771,3845,3597,3403,3862,1092,1672,1111,1037,1285,1479,1020,0,0,0,0,0,0,0,0
"328","Hood","0_4",3343,3189,2687,3257,3343,3022,2855,3343,154,656,86,0,321,488,0,0,2,1,2,2,2,1,2
"329","Hood","20",52736,50305,42395,51383,52736,47669,45032,52736,2431,10341,1353,0,5067,7704,0,0,0,0,0,0,0,0,0
"330","Hood","5_19",11695,9152,7714,9345,9456,8673,8194,9519,2543,3981,2350,2239,3022,3501,2176,0,0,0,0,0,0,0,0
"331","Hopkins","0_4",2375,2325,1969,2314,2375,2206,2088,2375,50,406,61,0,169,287,0,0,1,1,1,1,1,1,1
"332","Hopkins","20",28059,27471,23262,27339,28059,26068,24665,28059,588,4797,720,0,1991,3394,0,0,0,0,0,0,0,0,0
"333","Hopkins","5_19",7738,6176,5231,6147,6304,5861,5546,6304,1562,2507,1591,1434,1877,2192,1434,0,0,0,0,0,0,0,0
"334","Houston","0_4",1200,1161,981,1169,1200,1101,1041,1200,39,219,31,0,99,159,0,0,1,1,1,1,1,1,1
"335","Houston","20",17127,16572,14002,16688,17127,15715,14859,17127,555,3125,439,0,1412,2268,0,0,0,0,0,0,0,0,0
"336","Houston","5_19",3739,2963,2504,2981,3039,2810,2657,3045,776,1235,758,700,929,1082,694,0,0,0,0,0,0,0,0
"337","Howard","0_4",1786,1755,1487,1740,1786,1666,1577,1786,31,299,46,0,120,209,0,0,1,1,1,1,1,1,1
"338","Howard","20",22696,22304,18900,22114,22696,21169,20035,22696,392,3796,582,0,1527,2661,0,0,0,0,0,0,0,0,0
"339","Howard","5_19",6072,4737,4014,4696,4820,4496,4255,4820,1335,2058,1376,1252,1576,1817,1252,0,0,0,0,0,0,0,0
"340","Hudspeth","0_4",107,106,90,104,107,100,95,107,1,17,3,0,7,12,0,0,0,0,0,0,0,0,0
"341","Hudspeth","20",2957,2920,2476,2881,2957,2772,2624,2957,37,481,76,0,185,333,0,0,0,0,0,0,0,0,0
"342","Hudspeth","5_19",387,258,219,254,260,245,232,261,129,168,133,127,142,155,126,0,0,0,0,0,0,0,0
"343","Hunt","0_4",7283,7103,6011,7096,7283,6739,6375,7283,180,1272,187,0,544,908,0,0,4,3,4,4,3,3,4
"344","Hunt","20",81965,79945,67650,79863,81965,75846,71748,81965,2020,14315,2102,0,6119,10217,0,0,0,0,0,0,0,0,0
"345","Hunt","5_19",24099,18646,15779,18627,18969,17690,16735,19095,5453,8320,5472,5130,6409,7364,5004,0,0,0,0,0,0,0,0
"346","Hutchinson","0_4",1142,1109,937,1113,1142,1052,994,1142,33,205,29,0,90,148,0,0,1,0,1,1,1,1,1
"347","Hutchinson","20",14571,14145,11960,14197,14571,13417,12688,14571,426,2611,374,0,1154,1883,0,0,0,0,0,0,0,0,0
"348","Hutchinson","5_19",4320,3371,2850,3383,3461,3197,3024,3468,949,1470,937,859,1123,1296,852,0,0,0,0,0,0,0,0
"349","Irion","0_4",95,92,78,93,95,87,82,95,3,17,2,0,8,13,0,0,0,0,0,0,0,0,0
"350","Irion","20",1159,1119,946,1129,1159,1061,1004,1159,40,213,30,0,98,155,0,0,0,0,0,0,0,0,0
"351","Irion","5_19",295,238,201,240,243,225,213,244,57,94,55,52,70,82,51,0,0,0,0,0,0,0,0
"352","Jack","0_4",450,438,371,438,450,416,393,450,12,79,12,0,34,57,0,0,0,0,0,0,0,0,0
"353","Jack","20",6706,6532,5526,6534,6706,6197,5861,6706,174,1180,172,0,509,845,0,0,0,0,0,0,0,0,0
"354","Jack","5_19",1719,1363,1154,1363,1388,1293,1224,1393,356,565,356,331,426,495,326,0,0,0,0,0,0,0,0
"355","Jackson","0_4",1114,1101,934,1085,1114,1045,990,1114,13,180,29,0,69,124,0,0,1,1,1,1,1,1,1
"356","Jackson","20",10954,10828,9184,10673,10954,10280,9732,10954,126,1770,281,0,674,1222,0,0,0,0,0,0,0,0,0
"357","Jackson","5_19",3153,2525,2142,2491,2555,2398,2270,2555,628,1011,662,598,755,883,598,0,0,0,0,0,0,0,0
"358","Jasper","0_4",1908,1818,1532,1859,1908,1723,1628,1908,90,376,49,0,185,280,0,0,1,1,1,1,1,1,1
"359","Jasper","20",24329,23187,19538,23705,24329,21971,20754,24329,1142,4791,624,0,2358,3575,0,0,0,0,0,0,0,0,0
"360","Jasper","5_19",6457,5020,4232,5127,5186,4758,4495,5192,1437,2225,1330,1271,1699,1962,1265,0,0,0,0,0,0,0,0
"361","Jeff Davis","0_4",31,30,25,30,31,28,27,31,1,6,1,0,3,4,0,0,0,0,0,0,0,0,0
"362","Jeff Davis","20",1757,1678,1415,1712,1757,1590,1502,1757,79,342,45,0,167,255,0,0,0,0,0,0,0,0,0
"363","Jeff Davis","5_19",68,54,46,56,56,51,48,56,14,22,12,12,17,20,12,0,0,0,0,0,0,0,0
"364","Jefferson","0_4",16250,15950,13513,15833,16250,15138,14325,16250,300,2737,417,0,1112,1925,0,0,8,7,8,9,8,8,9
"365","Jefferson","20",183865,180474,152894,179149,183865,171281,162088,183865,3391,30971,4716,0,12584,21777,0,0,0,0,0,0,0,0,0
"366","Jefferson","5_19",51381,41352,35033,41052,42125,39246,37140,42125,10029,16348,10329,9256,12135,14241,9256,0,0,0,0,0,0,0,0
"367","Jim Hogg","0_4",311,304,257,303,311,288,273,311,7,54,8,0,23,38,0,0,0,0,0,0,0,0,0
"368","Jim Hogg","20",3202,3126,2646,3120,3202,2966,2806,3202,76,556,82,0,236,396,0,0,0,0,0,0,0,0,0
"369","Jim Hogg","5_19",1207,933,790,931,950,885,838,945,274,417,276,257,322,369,262,0,0,0,0,0,0,0,0
"370","Jim Wells","0_4",2535,2503,2122,2470,2535,2376,2249,2535,32,413,65,0,159,286,0,0,1,1,1,1,1,1,1
"371","Jim Wells","20",27145,26799,22728,26449,27145,25442,24085,27145,346,4417,696,0,1703,3060,0,0,0,0,0,0,0,0,0
"372","Jim Wells","5_19",8982,7211,6116,7120,7301,6846,6481,7301,1771,2866,1862,1681,2136,2501,1681,0,0,0,0,0,0,0,0
"373","Johnson","0_4",12855,12363,10435,12525,12855,11721,11078,12855,492,2420,330,0,1134,1777,0,0,7,6,7,7,6,6,7
"374","Johnson","20",145711,140138,118281,141974,145711,132852,125566,145711,5573,27430,3737,0,12859,20145,0,0,0,0,0,0,0,0,0
"375","Johnson","5_19",44340,34720,29308,35175,35722,32916,31112,36001,9620,15032,9165,8618,11424,13228,8339,0,0,0,0,0,0,0,0
"376","Jones","0_4",813,801,679,792,813,760,719,813,12,134,21,0,53,94,0,0,0,0,0,0,0,0,0
"377","Jones","20",16481,16232,13760,16058,16481,15408,14584,16481,249,2721,423,0,1073,1897,0,0,0,0,0,0,0,0,0
"378","Jones","5_19",3087,2402,2036,2377,2437,2280,2158,2437,685,1051,710,650,807,929,650,0,0,0,0,0,0,0,0
"379","Karnes","0_4",758,749,635,739,758,711,673,758,9,123,19,0,47,85,0,0,0,0,0,0,0,0,0
"380","Karnes","20",11663,11527,9778,11364,11663,10944,10361,11663,136,1885,299,0,719,1302,0,0,0,0,0,0,0,0,0
"381","Karnes","5_19",2597,2027,1719,1999,2045,1924,1822,2048,570,878,598,552,673,775,549,0,0,0,0,0,0,0,0
"382","Kaufman","0_4",13619,13251,11208,13270,13619,12570,11889,13619,368,2411,349,0,1049,1730,0,0,7,6,7,7,7,6,7
"383","Kaufman","20",127478,124030,104908,124208,127478,117656,111282,127478,3448,22570,3270,0,9822,16196,0,0,0,0,0,0,0,0,0
"384","Kaufman","5_19",44593,35776,30262,35831,36652,33938,32100,36756,8817,14331,8762,7941,10655,12493,7837,0,0,0,0,0,0,0,0
"385","Kendall","0_4",2384,2260,1902,2323,2325,2140,2021,2379,124,482,61,59,244,363,5,0,1,1,1,1,1,1,1
"386","Kendall","20",38241,36245,30509,37260,37267,34333,32421,38157,1996,7732,981,974,3908,5820,84,0,0,0,0,0,0,0,0
"387","Kendall","5_19",9912,7570,6375,7779,7870,7172,6773,7905,2342,3537,2133,2042,2740,3139,2007,0,0,0,0,0,0,0,0
"388","Kenedy","0_4",10,10,8,10,10,9,9,10,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0
"389","Kenedy","20",281,278,236,274,281,264,250,281,3,45,7,0,17,31,0,0,0,0,0,0,0,0,0
"390","Kenedy","5_19",52,38,33,38,39,36,35,39,14,19,14,13,16,17,13,0,0,0,0,0,0,0,0
"391","Kent","0_4",43,40,34,42,42,38,36,42,3,9,1,1,5,7,1,0,0,0,0,0,0,0,0
"392","Kent","20",546,511,430,532,532,484,457,539,35,116,14,14,62,89,7,0,0,0,0,0,0,0,0
"393","Kent","5_19",145,94,79,98,98,89,84,97,51,66,47,47,56,61,48,0,0,0,0,0,0,0,0
"394","Kerr","0_4",2453,2356,1988,2390,2453,2233,2111,2453,97,465,63,0,220,342,0,0,1,1,1,1,1,1,1
"395","Kerr","20",42717,41029,34621,41621,42717,38893,36757,42717,1688,8096,1096,0,3824,5960,0,0,0,0,0,0,0,0,0
"396","Kerr","5_19",8745,6557,5533,6652,6742,6215,5874,6798,2188,3212,2093,2003,2530,2871,1947,0,0,0,0,0,0,0,0
"397","Kimble","0_4",228,224,190,222,228,212,201,228,4,38,6,0,16,27,0,0,0,0,0,0,0,0,0
"398","Kimble","20",3546,3481,2949,3455,3546,3304,3127,3546,65,597,91,0,242,419,0,0,0,0,0,0,0,0,0
"399","Kimble","5_19",668,529,448,525,538,502,475,539,139,220,143,130,166,193,129,0,0,0,0,0,0,0,0
"400","King","0_4",10,9,8,10,10,9,8,10,1,2,0,0,1,2,0,0,0,0,0,0,0,0,0
"401","King","20",165,152,127,161,161,143,135,160,13,38,4,4,22,30,5,0,0,0,0,0,0,0,0
"402","King","5_19",42,34,28,36,37,32,30,35,8,14,6,5,10,12,7,0,0,0,0,0,0,0,0
"403","Kinney","0_4",138,136,115,134,138,129,122,138,2,23,4,0,9,16,0,0,0,0,0,0,0,0,0
"404","Kinney","20",2503,2463,2088,2439,2503,2338,2213,2503,40,415,64,0,165,290,0,0,0,0,0,0,0,0,0
"405","Kinney","5_19",507,371,315,368,376,353,334,377,136,192,139,131,154,173,130,0,0,0,0,0,0,0,0
"406","Kleberg","0_4",1915,1891,1604,1866,1915,1795,1700,1915,24,311,49,0,120,215,0,0,1,1,1,1,1,1,1
"407","Kleberg","20",21304,21039,17844,20758,21304,19974,18909,21304,265,3460,546,0,1330,2395,0,0,0,0,0,0,0,0,0
"408","Kleberg","5_19",6850,4810,4080,4747,4869,4567,4323,4869,2040,2770,2103,1981,2283,2527,1981,0,0,0,0,0,0,0,0
"409","Knox","0_4",208,205,174,203,208,195,185,208,3,34,5,0,13,23,0,0,0,0,0,0,0,0,0
"410","Knox","20",2329,2301,1952,2269,2329,2184,2068,2329,28,377,60,0,145,261,0,0,0,0,0,0,0,0,0
"411","Knox","5_19",765,633,537,624,638,601,569,639,132,228,141,127,164,196,126,0,0,0,0,0,0,0,0
"412","La Salle","0_4",331,330,280,323,331,313,297,331,1,51,8,0,18,34,0,0,0,0,0,0,0,0,0
"413","La Salle","20",5124,5108,4340,4993,5124,4852,4596,5124,16,784,131,0,272,528,0,0,0,0,0,0,0,0,0
"414","La Salle","5_19",1082,753,639,735,755,715,677,755,329,443,347,327,367,405,327,0,0,0,0,0,0,0,0
"415","Lamar","0_4",3413,3346,2834,3325,3413,3175,3005,3413,67,579,88,0,238,408,0,0,2,2,2,2,2,2,2
"416","Lamar","20",37336,36604,31003,36378,37336,34737,32870,37336,732,6333,958,0,2599,4466,0,0,0,0,0,0,0,0,0
