CTYNAME,0_4,5_19,20_,Cum_inf,Cum_inf_low,Cum_inf_high,Cum_inf_0,Cum_inf_0_low,Cum_inf_0_high,Cum_inf_1,Cum_inf_1_low,Cum_inf_1_high,Cum_inf_2,Cum_inf_2_low,Cum_inf_2_high,Cum_Hosp,Cum_Hosp_low,Cum_Hosp_high,Cum_Hosp_0,Cum_Hosp_0_low,Cum_Hosp_0_high,Cum_Hosp_1,Cum_Hosp_1_low,Cum_Hosp_1_high,Cum_Hosp_2,Cum_Hosp_2_low,Cum_Hosp_2_high
Anderson,3009,9494,45233,479.8209898589504,427.1850176094128,520.2026255167883,149.084725006565,133.52159866044084,161.7633199029733,216.317780889632,193.2789278361136,235.2990129213818,114.1252177702004,98.90666123661035,125.94513254290214,90.10279551517985,79.71338327927477,99.45382221186686,42.94195362785436,37.663722701342174,46.96370584310932,27.920869137165752,24.92330139104472,30.75210809143373,19.143787377903585,16.32563086195434,21.664778839916117
Andrews,1473,4847,12344,191.74085832908312,172.77669574327703,208.9599785757363,68.93787491577127,61.80474704694585,75.18779280389646,97.18301528421237,87.10324583806523,106.368625781147,25.30904728190489,22.51134373976776,28.494298125385335,36.883317069481194,32.67441732456289,40.804285050354515,19.91061274973679,17.48155644440534,22.0612529682405,12.645934651974272,11.19708634590147,14.024933407184449,4.286351650533009,3.7586688598397617,4.904897143881103
Angelina,5759,18551,63009,864.727056840002,779.3117794156701,955.8641948814245,282.0213516933742,252.82215430225472,308.5653432729685,426.18049933776473,384.6380702819816,466.37392905336907,159.10759499491792,140.4298374750418,181.50918585535007,162.98563189714724,145.80268273924068,181.40301303720022,80.75278651754006,72.056495467832,89.83865548795295,55.13137237341623,49.35704126893552,61.13914212737472,26.652141966384285,23.169556338126238,30.861004665408434
Aransas,1123,3859,20392,185.27747238114625,169.378011181318,206.32831315230547,54.863964280493406,50.07409851814595,61.2941087538138,83.3175921563233,76.47763946032738,92.99912610025594,47.09527897964294,41.98720259550922,53.293010756396576,34.68315605180359,31.193596609682643,38.90563983538292,15.841591024224442,14.196974791875926,17.771827432985557,10.87906955116577,9.851653322808144,12.151196962775916,7.92101621200761,7.006577030889312,9.124014567415559
Archer,468,1761,6800,77.22210781489059,69.26991528651536,85.76445870120921,23.079647796922323,20.67108391374359,25.62774152584153,37.4811269325952,33.54992715736377,41.12777171324588,16.64356482976565,14.726684509267157,18.542153514064218,14.398636125653397,12.828826373839439,16.09899596245571,6.6480367521423425,5.915739592574043,7.448424782232852,4.945582282896355,4.397361453573424,5.518865133991868,2.820617940012064,2.444119722464435,3.1510799439890746
Armstrong,109,337,1386,17.623382596266545,15.955983026906654,19.255439413977932,5.624360141849994,5.105593849982458,6.1305469796537855,7.680786462684207,7.007220991255264,8.391843225451366,4.2731182028396075,3.764090847384332,4.835538375080433,3.4456556516622294,3.1102934349302798,3.8351691924643734,1.6236570100574843,1.4713006001005922,1.8083381426866778,1.0969203899387006,0.9759886995670232,1.2227061770296546,0.7253546804015054,0.6338515229196996,0.8405756686104474
Atascosa,3433,11779,36572,488.9329491020304,430.73087266253725,539.1336418982941,162.14853554045214,143.2483903150578,179.51818699898794,251.06829720541685,222.65769692842824,275.8595095198464,75.16306315644269,63.49881384653333,84.22058872803724,91.94965038822934,80.12787240928581,102.32980269311564,46.70868909522997,40.750021628412824,51.642785357234985,32.650995946478744,28.818028982635298,36.39126646074443,12.607183949124632,10.506530453787892,14.224802147130013
Austin,1827,6332,23518,290.36889317211285,255.05326081418528,323.41665404991613,89.6208164731009,78.60879802187125,99.65415165953647,139.8368221311609,122.54375684920552,155.42574975852023,60.6673723618394,53.69672761098308,68.96050155582364,54.1684379285507,46.755566708878774,60.674167139892305,25.779993256518374,22.29094536958011,28.814309610206905,18.233804200228498,15.685869898689809,20.385228886528964,10.285489516943208,8.926787691795843,11.693645840649337
Bailey,559,1644,4469,78.77354322642208,70.69178247902849,86.29187684973384,28.57819545793184,25.714674152437638,31.353260127632996,39.47247502265976,35.430980424610844,43.318964055332515,10.807324445758228,9.578755005493825,11.96066844102572,15.259250647706729,13.753734251385515,16.741114779298496,8.258458814555176,7.4627629017170385,9.046959329901773,5.2400347338063895,4.69022622689054,5.763176367290641,1.8203774594506,1.5922008004184844,2.039142589174396
Bandera,897,3282,18458,177.678030883823,159.72166292274622,194.74888622883017,46.37976463583048,42.05008807585408,51.34412398760639,76.35214374335305,69.41370997022265,84.30083128609678,54.42811182143433,48.96423077032506,60.78946974321913,32.63073791346832,29.610064534390997,36.2886477950328,13.441001602210022,12.15508891543258,15.04327077177704,10.018954657881274,8.966201055177342,11.037295287705986,9.183897621680163,8.176305486640553,10.432008665731315
